,PartitionKey,RowKey,Timestamp,message,etag
29,U1176626972d71dae893739ac322d3621,1582604467,2020-02-25 04:21:07.049348+00:00,img : OV,"W/""datetime'2020-02-25T04%3A21%3A07.0493481Z'"""
30,U1176626972d71dae893739ac322d3621,1582604478,2020-02-25 04:21:18.569838+00:00,ลักษณะเด่นของไข่พยาธิ,"W/""datetime'2020-02-25T04%3A21%3A18.569838Z'"""
31,U1176626972d71dae893739ac322d3621,1582604494,2020-02-25 04:21:34.973719+00:00,ไข่พยาธิชื่อว่าอะไร,"W/""datetime'2020-02-25T04%3A21%3A34.9737191Z'"""
32,U1176626972d71dae893739ac322d3621,1582604503,2020-02-25 04:21:43.508170+00:00,วิธีป้องกัน,"W/""datetime'2020-02-25T04%3A21%3A43.5081705Z'"""
33,U1176626972d71dae893739ac322d3621,1582604892,2020-02-25 04:28:12.421850+00:00,Hello,"W/""datetime'2020-02-25T04%3A28%3A12.4218509Z'"""
34,U1176626972d71dae893739ac322d3621,1582605016,2020-02-25 04:30:16.941606+00:00,img : not a parasite image,"W/""datetime'2020-02-25T04%3A30%3A16.9416066Z'"""
35,U1176626972d71dae893739ac322d3621,1582605144,2020-02-25 04:32:24.347596+00:00,img : Trichuris,"W/""datetime'2020-02-25T04%3A32%3A24.3475969Z'"""
36,U1176626972d71dae893739ac322d3621,1582605216,2020-02-25 04:33:37.020225+00:00,อาการ,"W/""datetime'2020-02-25T04%3A33%3A37.0202256Z'"""
37,U1176626972d71dae893739ac322d3621,1582606296,2020-02-25 04:51:36.911087+00:00,img : Enterobius,"W/""datetime'2020-02-25T04%3A51%3A36.9110878Z'"""
38,U1176626972d71dae893739ac322d3621,1582638099,2020-02-25 13:41:39.759084+00:00,Hello,"W/""datetime'2020-02-25T13%3A41%3A39.7590849Z'"""
39,U1176626972d71dae893739ac322d3621,1582638123,2020-02-25 13:42:04.028886+00:00,img : Taenia,"W/""datetime'2020-02-25T13%3A42%3A04.0288867Z'"""
40,U1176626972d71dae893739ac322d3621,1582638152,2020-02-25 13:42:32.558309+00:00,img : Ascaris,"W/""datetime'2020-02-25T13%3A42%3A32.5583093Z'"""
41,U1176626972d71dae893739ac322d3621,1582638171,2020-02-25 13:42:51.111856+00:00,img : not a parasite image,"W/""datetime'2020-02-25T13%3A42%3A51.1118568Z'"""
42,U1176626972d71dae893739ac322d3621,1582638211,2020-02-25 13:43:31.340028+00:00,img : Taenia,"W/""datetime'2020-02-25T13%3A43%3A31.3400286Z'"""
43,U1176626972d71dae893739ac322d3621,1582638215,2020-02-25 13:43:35.156223+00:00,รู้ได้อย่างไรว่าติดพยาธิ,"W/""datetime'2020-02-25T13%3A43%3A35.1562232Z'"""
44,U1176626972d71dae893739ac322d3621,1582638233,2020-02-25 13:43:53.306598+00:00,ลักษณะเด่นของไข่พยาธิ,"W/""datetime'2020-02-25T13%3A43%3A53.3065982Z'"""
45,U1176626972d71dae893739ac322d3621,1582638248,2020-02-25 13:44:08.877444+00:00,ลักษณะทั่วไปตัวเต็มวัย,"W/""datetime'2020-02-25T13%3A44%3A08.8774442Z'"""
46,U1176626972d71dae893739ac322d3621,1582638264,2020-02-25 13:44:24.956519+00:00,ติดต่อสู่คนได้อย่างไร,"W/""datetime'2020-02-25T13%3A44%3A24.9565194Z'"""
47,U1176626972d71dae893739ac322d3621,1582638277,2020-02-25 13:44:37.322075+00:00,ตัวเต็มวัยขนาดเท่าไหร่,"W/""datetime'2020-02-25T13%3A44%3A37.3220754Z'"""
